,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,segment,time,flow,speed,is_crash,diff_flow,diff_speed,vari_flow_in_last_4mins,vari_speed_in_last_4mins,speed_on_last_seg,flow_on_last_seg
94188,94188,94482,96746,96746,4109,32520,77,12,1,9,6,774,56,39,146
55717,55717,55729,55919,55919,3114,74640,95,11,1,-58,-9,640,16,0,0
95689,95689,95983,98247,98247,4111,39840,154,13,1,2,3,6,14,76,107
85208,85208,85474,87705,87705,3229,69120,118,40,0,-3,3,4,1,46,53
101639,101639,101944,104219,104219,4120,69840,171,69,0,37,-9,1181,22,47,190
110860,110860,111288,114108,114108,4134,49560,97,75,0,-3,-1,94,0,57,193
95204,95204,95498,97762,97762,4110,68040,177,50,1,-17,13,344,81,24,201
75384,75384,75631,77563,77563,3215,8760,27,82,0,-16,0,56,0,82,27
95110,95110,95404,97668,97668,4110,56760,190,63,0,1,2,0,0,57,207
28253,28253,28254,28255,28255,2110,38160,146,9,1,-5,1,20,9,0,0
480,480,480,480,480,1101,57600,79,16,1,-6,0,11,2,0,0
105723,105723,106028,108303,108303,4126,42600,177,12,1,-7,-1,8,9,58,163
5170,5170,5170,5170,5170,1108,17280,24,82,0,-2,0,32,0,76,34
95449,95449,95743,98007,98007,4111,11040,11,78,0,4,0,10,0,85,5
83962,83962,84228,86459,86459,3228,6000,13,84,0,10,0,16,0,70,31
94964,94964,95258,97522,97522,4110,39240,172,65,0,-1,4,4,2,27,133
29799,29799,29802,29805,29805,2112,51360,138,57,0,9,4,38,16,61,143
94197,94197,94491,96755,96755,4109,33600,48,5,1,23,1,108,0,5,53
66877,66877,66999,68104,68104,3131,68040,56,62,0,33,0,181,0,53,112
103239,103239,103544,105819,105819,4123,2640,25,73,0,0,0,2,0,81,23
63622,63622,63742,64845,64845,3127,22560,17,78,0,-6,-3,8,1,77,19
20373,20373,20373,20373,20373,1215,35400,178,70,0,-30,4,155,2,46,158
96406,96406,96707,98978,98978,4112,41160,128,72,0,2,0,64,0,4,155
26991,26991,26992,26993,26993,2108,52440,177,22,0,4,-2,59,1,21,169
30443,30443,30446,30449,30449,2113,42240,104,82,0,1,-1,896,2,54,111
110918,110918,111346,114166,114166,4134,56520,117,73,0,5,1,20,0,36,184
31254,31254,31257,31260,31260,2114,53160,153,48,1,-22,5,267,20,11,76
93486,93486,93780,96044,96044,4108,34680,116,10,0,0,-1,56,0,18,147
98957,98957,99261,101535,101535,4117,6960,18,78,0,-7,0,14,0,77,10
31239,31239,31242,31245,31245,2114,51360,114,19,0,33,12,817,46,34,115
84490,84490,84756,86987,86987,3228,69360,45,80,1,3,-7,10,214,7,32
95838,95838,96132,98396,98396,4111,57720,156,7,1,10,1,48,0,12,118
3968,3968,3968,3968,3968,1106,45720,102,12,0,-16,1,60,1,6,63
39002,39002,39005,39008,39008,2207,32520,111,71,0,1,-1,122,2,77,68
86876,86876,87145,89379,89379,3233,10800,10,78,0,0,0,5,0,0,0
96544,96544,96845,99116,99116,4112,57720,114,76,0,0,0,56,0,7,156
94204,94204,94498,96762,96762,4109,34440,149,16,1,2,0,14,0,11,132
105587,105587,105892,108167,108167,4126,25200,247,66,0,-7,3,48,2,76,151
94967,94967,95261,97525,97525,4110,39600,118,77,0,12,-3,46,1,27,130
87448,87448,87717,89951,89951,3233,79440,69,67,1,-14,-1,70,4,0,0
1376,1376,1376,1376,1376,1102,78720,114,11,0,-23,-1,94,1,8,50
9037,9037,9037,9037,9037,1114,53280,146,55,0,31,-5,304,8,14,165
36068,36068,36071,36074,36074,2202,26040,42,81,0,13,-3,28,6,33,124
3565,3565,3565,3565,3565,1105,83760,91,75,0,7,2,28,0,74,136
151062,151062,152006,159492,159492,6106,62880,178,68,0,2,-3,118,1,0,0
81490,81490,81754,83983,83983,3224,54480,88,23,0,-2,-1,32,0,27,111
7629,7629,7629,7629,7629,1112,53160,99,12,0,1,7,544,28,19,144
27017,27017,27018,27019,27019,2108,55560,162,16,0,-37,1,257,0,48,155
96410,96410,96711,98982,98982,4112,41640,190,61,0,-20,7,1283,28,3,158
52873,52873,52883,52893,52893,3108,57120,47,49,0,38,8,241,21,34,165
29007,29007,29008,29009,29009,2111,42240,139,16,0,-27,-2,666,6,17,151
5402,5402,5402,5402,5402,1108,45120,170,58,0,-6,1,6,0,30,230
94086,94086,94380,96644,96644,4109,20280,26,80,0,14,-1,40,0,80,17
109746,109746,110126,112727,112727,4132,56640,158,76,0,-38,2,241,2,73,187
95924,95924,96218,98482,98482,4111,68040,211,61,0,-7,4,272,3,50,177
95052,95052,95346,97610,97610,4110,49800,170,68,0,17,-2,88,2,53,229
101644,101644,101949,104224,104224,4120,70440,167,71,0,13,0,74,0,46,196
28403,28403,28404,28405,28405,2110,56160,241,50,0,-1,4,12,3,19,251
26518,26518,26519,26520,26520,2107,82080,110,9,0,0,1,10,0,12,52
77003,77003,77251,79184,79184,3217,30480,133,60,0,-19,2,66,2,76,76
22425,22425,22426,22427,22427,2102,22920,140,80,0,-10,0,27,0,99,115
101642,101642,101947,104222,104222,4120,70200,159,73,0,4,-5,13,4,45,204
94211,94211,94505,96769,96769,4109,35280,134,14,1,20,2,70,0,11,126
56433,56433,56445,56635,56635,3115,74160,34,31,1,5,4,13,2,4,24
94965,94965,95259,97523,97523,4110,39360,114,75,0,58,-10,734,16,26,145
110172,110172,110585,113271,113271,4133,35520,136,27,0,52,12,861,50,74,143
84350,84350,84616,86847,86847,3228,52560,73,20,0,8,9,11,18,20,118
94207,94207,94501,96765,96765,4109,34800,141,15,1,19,-1,60,0,9,117
94907,94907,95201,97465,97465,4110,32400,60,81,0,3,-1,17,1,18,86
94931,94931,95225,97489,97489,4110,35280,123,72,0,18,-1,57,1,14,134
62869,62869,62966,63790,63790,3125,68760,79,62,0,-3,2,17,0,39,112
4748,4748,4748,4748,4748,1107,53040,139,13,0,-12,-1,61,60,17,92
85032,85032,85298,87529,87529,3229,48000,127,46,0,0,-3,8,2,43,45
117837,117837,118403,123210,123210,4209,18600,20,81,0,16,-5,42,4,78,12
99483,99483,99787,102061,102061,4117,70080,152,35,1,10,-8,320,11,46,175
5768,5768,5768,5768,5768,1109,2640,45,73,0,-8,0,12,0,82,65
22640,22640,22641,22642,22642,2102,48720,190,40,0,12,-1,152,53,84,156
85033,85033,85299,87530,87530,3229,48120,119,42,0,8,4,14,2,43,48
27235,27235,27236,27237,27237,2108,81720,127,74,1,2,-3,0,157,12,121
93524,93524,93818,96082,96082,4108,39240,152,26,0,50,4,544,2,33,227
8097,8097,8097,8097,8097,1113,22920,176,77,0,19,0,84,0,84,72
110207,110207,110620,113306,113306,4133,39720,148,22,1,-41,14,1262,76,76,112
63069,63069,63179,64141,64141,3126,24480,34,75,0,0,2,14,1,67,84
9773,9773,9773,9773,9773,1115,55200,140,25,0,4,2,52,0,56,186
106428,106428,106733,109008,109008,4127,42360,153,66,0,-15,0,46,0,18,175
94190,94190,94484,96748,96748,4109,32760,79,8,1,0,0,0,3,8,54
84032,84032,84298,86529,86529,3228,14400,5,84,0,1,0,0,0,70,4
81487,81487,81751,83980,83980,3224,54120,90,20,0,-2,-2,1,2,38,131
46565,46565,46569,46573,46573,2219,76320,132,63,0,-23,-6,90,6,27,106
29723,29723,29726,29729,29729,2112,42240,111,54,1,3,-1,314,4,16,139
4573,4573,4573,4573,4573,1107,32040,151,73,0,65,-15,2730,113,19,98
95925,95925,96219,98483,98483,4111,68160,223,55,0,-12,6,61,16,54,164
51229,51229,51237,51245,51245,3106,32160,124,41,0,-1,4,2,3,43,150
110427,110427,110840,113526,113526,4133,66120,155,17,0,21,-2,353,2,70,140
31112,31112,31115,31118,31118,2114,36120,189,46,0,-21,4,73,4,75,138
75866,75866,76113,78045,78045,3215,66600,75,23,1,8,0,42,0,69,116
87374,87374,87643,89877,89877,3233,70560,83,66,0,6,-1,8,0,0,0
75694,75694,75941,77873,77873,3215,45960,114,73,0,20,-4,77,3,65,166
94977,94977,95271,97535,97535,4110,40800,124,12,0,-25,0,116,0,21,218
41317,41317,41321,41325,41325,2210,51360,105,21,1,16,-5,56,4,12,76
110384,110384,110797,113483,113483,4133,60960,172,26,1,-20,10,98,134,81,118
87444,87444,87713,89947,89947,3233,78960,78,64,1,8,-3,14,1,0,0
110458,110458,110871,113557,113557,4133,69840,170,55,0,23,4,94,10,76,102
45765,45765,45769,45773,45773,2218,66720,109,64,0,24,-3,338,1,28,149
28558,28558,28559,28560,28560,2110,74760,118,22,1,10,7,528,48,0,0
83767,83767,84033,86264,86264,3227,69000,88,39,0,2,5,374,16,60,64
110560,110560,110973,113659,113659,4133,82080,93,73,0,5,-3,50,2,80,47
110296,110296,110709,113395,113395,4133,50400,182,26,0,10,-3,30,6,73,148
137105,137105,137755,143063,143063,4236,76920,68,72,0,16,4,99,3,71,89
154503,154503,155477,163120,163120,6203,68760,144,55,0,6,-2,49,1,39,139
3965,3965,3965,3965,3965,1106,45360,103,19,0,48,5,672,16,47,109
110061,110061,110474,113160,113160,4133,22200,76,76,0,-12,-1,67,1,81,54
80669,80669,80933,83162,83162,3223,42360,127,45,0,1,-1,9,6,0,0
10184,10184,10184,10184,10184,1116,18120,22,80,0,13,0,28,0,88,24
158579,158579,159555,167200,167200,6209,40080,106,55,0,-20,4,110,10,55,76
94486,94486,94780,97044,97044,4109,68280,197,22,0,-22,3,130,1,19,137
33526,33526,33529,33532,33532,2117,66600,151,28,0,23,10,181,43,72,88
28281,28281,28282,28283,28283,2110,41520,184,50,1,40,5,570,5,21,266
110747,110747,111175,113995,113995,4134,36000,124,69,0,-9,3,16,2,29,201
2695,2695,2695,2695,2695,1104,65640,127,19,0,2,-1,118,4,17,199
140238,140238,140974,147066,147066,5104,38880,97,75,0,8,1,12,0,70,146
57155,57155,57167,57357,57357,3116,74400,41,78,0,0,1,50,0,33,57
9035,9035,9035,9035,9035,1114,53040,136,48,0,55,9,710,33,11,166
109702,109702,110082,112683,112683,4132,51360,107,46,0,33,19,234,136,76,137
44327,44327,44331,44335,44335,2216,66960,140,10,0,-36,3,571,8,17,68
100208,100208,100512,102786,102786,4118,70680,175,24,0,-13,-1,34,12,27,215
98147,98147,98451,100725,100725,4115,82560,78,70,0,-19,2,228,0,49,75
5404,5404,5404,5404,5404,1108,45360,105,68,0,19,-10,744,22,14,161
95417,95417,95711,97975,97975,4111,7200,10,78,0,1,0,4,0,85,9
95841,95841,96135,98399,98399,4111,58080,153,6,1,9,0,14,0,15,123
80825,80825,81089,83318,83318,3223,61080,119,41,0,-2,1,22,4,0,0
51230,51230,51238,51246,51246,3106,32280,117,44,0,7,-3,9,2,60,120
84381,84381,84647,86878,86878,3228,56280,62,19,0,18,-3,57,4,68,78
133323,133323,133961,138986,138986,4231,19680,15,78,0,4,-1,2,2,78,22
62709,62709,62806,63630,63630,3125,49560,117,57,0,-4,-1,34,0,67,151
5403,5403,5403,5403,5403,1108,45240,124,58,0,46,0,416,0,27,179
96402,96402,96703,98974,98974,4112,40680,122,74,0,-18,1,56,4,5,158
94923,94923,95217,97481,97481,4110,34320,124,73,0,-5,3,4,4,16,151
101646,101646,101951,104226,104226,4120,70680,156,70,0,20,1,66,0,46,191
29005,29005,29006,29007,29007,2111,42000,76,20,0,76,12,2082,379,29,223
83592,83592,83858,86089,86089,3227,48000,63,9,0,4,1,152,1,61,62
63440,63440,63550,64512,64512,3126,69000,30,76,0,4,0,2,0,61,80
42028,42028,42032,42036,42036,2211,50280,123,20,0,24,1,152,0,19,129
36352,36352,36355,36358,36358,2202,60120,74,84,0,2,1,1,0,66,146
32707,32707,32710,32713,32713,2116,54720,75,80,0,6,-2,6,4,65,96
75147,75147,75394,77326,77326,3214,66720,130,66,0,-14,3,33,2,68,102
25211,25211,25212,25213,25213,2106,11640,12,69,0,-1,0,0,0,79,22
75861,75861,76108,78040,78040,3215,66000,93,28,1,7,6,8,14,62,152
109609,109609,109989,112590,112590,4132,40200,128,72,0,-17,5,141,4,74,158
116979,116979,117502,122060,122060,4207,53400,96,63,0,20,2,1034,0,46,159
95411,95411,95705,97969,97969,4111,6480,21,78,0,-3,0,8,0,85,10
110182,110182,110595,113281,113281,4133,36720,189,24,0,-3,5,21,6,71,132
28972,28972,28973,28974,28974,2111,38040,88,62,0,-9,4,13,4,10,141
78203,78203,78451,80384,80384,3219,1680,23,70,0,4,0,66,0,75,23
