,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,segment,time,flow,speed,is_crash,diff_flow,diff_speed,vari_flow_in_last_4mins,vari_speed_in_last_4mins,speed_on_last_seg,flow_on_last_seg
32362,32362,32365,32368,32368,2116,13320,25,73,0,-8,0,18,0,86,23
110360,110360,110773,113459,113459,4133,58080,198,24,1,-17,-1,254,0,29,130
70228,70228,70366,71738,71738,3207,960,11,82,0,-5,0,6,0,76,25
32840,32840,32843,32846,32846,2116,70680,56,21,0,36,8,242,60,67,80
94233,94233,94527,96791,96791,4109,37920,214,36,0,15,1,38,9,23,216
31360,31360,31363,31366,31366,2114,65880,174,49,0,-29,6,216,6,73,143
26508,26508,26509,26510,26510,2107,80880,182,18,0,-17,10,68,18,31,100
110551,110551,110964,113650,113650,4133,81000,111,70,0,-12,0,42,0,80,41
359,359,359,359,359,1101,43080,65,63,0,6,0,38,0,0,0
9672,9672,9672,9672,9672,1115,43080,109,29,0,42,23,401,141,67,199
482,482,482,482,482,1101,57840,53,12,1,11,-1,113,4,0,0
100927,100927,101231,103505,103505,4119,70560,212,45,1,-16,1,64,0,23,162
88162,88162,88432,90667,90667,3234,78960,67,58,0,10,7,96,9,64,78
94199,94199,94493,96757,96757,4109,33840,58,4,1,6,1,43,0,4,57
33528,33528,33531,33534,33534,2117,66840,133,39,0,18,-6,72,20,61,85
100203,100203,100507,102781,102781,4118,70080,182,21,0,-35,-3,206,2,35,152
100925,100925,101229,103503,103503,4119,70320,194,44,1,10,1,114,0,26,150
22597,22597,22598,22599,22599,2102,43560,100,27,1,-15,0,66,0,28,82
75944,75944,76191,78123,78123,3215,75960,82,71,0,14,0,46,0,70,115
9038,9038,9038,9038,9038,1114,53400,146,64,0,0,-9,213,33,14,185
84314,84314,84580,86811,86811,3228,48240,50,43,1,-2,0,4,0,7,63
27015,27015,27016,27017,27017,2108,55320,155,17,0,22,1,102,0,46,148
88166,88166,88436,90671,90671,3234,79440,56,62,0,-1,-10,0,20,67,69
116410,116410,116924,121340,121340,4206,53400,159,46,1,-24,19,246,80,73,113
8862,8862,8862,8862,8862,1114,32280,188,72,0,18,-5,161,6,22,266
49266,49266,49274,49282,49282,3103,55800,50,16,0,2,-5,0,4,28,93
75862,75862,76109,78041,78041,3215,66120,88,25,1,5,3,24,14,63,141
4555,4555,4555,4555,4555,1107,29880,96,12,0,36,6,2438,310,14,59
25598,25598,25599,25600,25600,2106,58080,72,21,0,10,-6,114,20,10,134
32807,32807,32810,32813,32813,2116,66720,64,71,1,24,1,118,0,72,82
108328,108328,108668,111030,111030,4130,25800,210,72,0,-56,4,709,3,73,275
56123,56123,56135,56325,56325,3115,36960,125,41,0,2,-2,32,0,33,115
87372,87372,87641,89875,89875,3233,70320,89,66,0,-13,0,96,0,0,0
31190,31190,31193,31196,31196,2114,45480,133,47,0,1,-5,24,4,75,139
95834,95834,96128,98392,98392,4111,57240,147,13,1,-3,4,48,20,29,134
75140,75140,75387,77319,77319,3214,65880,141,68,0,32,-6,259,6,61,108
83961,83961,84227,86458,86458,3228,5880,23,84,0,-5,0,5,0,70,30
43262,43262,43266,43270,43270,2215,25560,131,53,0,8,1,21,4,0,0
88126,88126,88396,90631,90631,3234,74640,58,61,0,2,3,6,1,69,62
95893,95893,96187,98451,98451,4111,64320,221,64,0,-7,-1,8,1,72,175
100838,100838,101142,103416,103416,4119,59880,209,66,0,1,1,329,2,65,186
27905,27905,27906,27907,27907,2109,82200,214,59,0,-48,11,512,20,70,148
94628,94628,94922,97186,97186,4109,85320,43,76,0,3,2,8,0,78,38
95977,95977,96271,98535,98535,4111,74400,120,72,0,12,0,536,0,74,88
95118,95118,95412,97676,97676,4110,57720,118,12,0,2,-1,0,0,39,228
110023,110023,110432,113105,113105,4133,15600,1,71,0,5,0,5,0,0,0
87447,87447,87716,89950,89950,3233,79320,55,66,1,20,-4,80,2,0,0
93470,93470,93764,96028,96028,4108,32760,54,8,0,30,8,1467,172,22,186
41418,41418,41422,41426,41426,2210,63480,141,47,0,-33,14,181,34,70,116
45394,45394,45398,45402,45402,2218,22200,79,79,0,-15,1,42,2,72,89
153178,153178,154133,161753,161753,6201,77520,103,68,0,-28,-1,130,0,0,0
110780,110780,111208,114028,114028,4134,39960,88,76,0,-10,2,48,2,25,148
109606,109606,109986,112587,112587,4132,39840,115,78,0,-3,-2,42,2,75,141
27844,27844,27845,27846,27846,2109,74520,272,61,0,-25,-2,144,14,68,188
110212,110212,110625,113311,113311,4133,40320,188,18,1,-53,1,488,0,76,118
3112,3112,3112,3112,3112,1105,29280,118,11,0,-2,1,44,0,24,133
29721,29721,29724,29727,29727,2112,42000,75,58,1,-39,6,254,9,20,76
115690,115690,116204,120620,120620,4205,53400,113,73,0,-32,0,174,0,74,152
83771,83771,84037,86268,86268,3227,69480,46,5,0,-14,2,34,2,60,56
48799,48799,48803,48807,48807,3102,85200,34,77,0,-14,-2,34,0,59,26
84422,84422,84688,86919,86919,3228,61200,85,79,0,-6,-4,38,3,59,118
95690,95690,95984,98248,98248,4111,39960,164,11,1,-10,2,18,4,68,174
35332,35332,35335,35338,35338,2201,24120,122,67,0,-11,1,60,0,0,0
88163,88163,88433,90668,90668,3234,79080,64,63,0,3,-5,30,8,64,73
100923,100923,101227,103501,103501,4119,70080,178,45,1,21,1,74,0,21,182
75863,75863,76110,78042,78042,3215,66240,85,24,1,3,1,10,2,64,143
64510,64510,64630,65733,65733,3128,42720,87,65,0,-19,0,64,0,76,37
44175,44175,44179,44183,44183,2216,48720,169,24,1,15,-9,50,16,17,89
3966,3966,3966,3966,3966,1106,45480,103,15,0,0,4,512,13,20,68
41469,41469,41473,41477,41477,2210,69600,96,37,0,13,18,57,76,75,83
95023,95023,95317,97581,97581,4110,46320,148,70,0,42,-12,294,24,54,199
143809,143809,144619,151382,151382,5202,38400,68,80,0,-7,-3,9,4,74,56
16877,16877,16877,16877,16877,1210,47880,115,65,1,6,-8,518,82,0,0
83588,83588,83854,86085,86085,3227,47520,61,7,0,9,7,1026,28,60,78
84489,84489,84755,86986,86986,3228,69240,48,73,1,5,-27,268,522,9,42
94973,94973,95267,97531,97531,4110,40320,137,30,0,19,15,340,170,37,226
94348,94348,94642,96906,96906,4109,51720,217,39,0,-9,-2,14,1,67,177
83773,83773,84039,86270,86270,3227,69720,49,7,0,6,-1,14,0,60,62
94916,94916,95210,97474,97474,4110,33480,51,83,0,15,-2,38,1,6,71
110351,110351,110764,113450,113450,4133,57000,188,24,1,-30,-1,560,2,72,138
76577,76577,76825,78758,78758,3216,65760,61,75,0,-13,-5,30,4,37,98
152311,152311,153266,160886,160886,6110,57360,137,60,1,35,-1,453,0,0,0
134600,134600,135238,140263,140263,4233,120,30,80,0,5,0,0,0,80,34
131741,131741,132372,137389,137389,4229,840,30,86,0,2,0,0,0,83,12
93472,93472,93766,96030,96030,4108,33000,60,5,0,-9,1,14,1,14,86
52215,52215,52223,52231,52231,3107,64080,159,47,0,-23,11,200,36,48,122
94969,94969,95263,97527,97527,4110,39840,107,76,0,22,0,80,0,31,210
115692,115692,116206,120622,120622,4205,53640,108,72,0,0,3,5,1,74,143
57154,57154,57166,57356,57356,3116,74280,41,79,0,-15,1,57,2,44,45
23317,23317,23318,23319,23319,2103,43560,93,9,0,-17,0,88,0,27,100
5654,5654,5654,5654,5654,1108,75360,163,67,0,-6,2,94,0,54,245
88165,88165,88435,90670,90670,3234,79320,55,52,0,2,9,14,22,66,55
83589,83589,83855,86086,86086,3227,47640,54,7,0,7,0,42,10,63,65
55716,55716,55728,55918,55918,3114,74520,37,2,0,10,1,34,0,0,0
146836,146836,147759,155108,155108,5208,53520,61,49,0,-6,1,16,29,37,124
83772,83772,84038,86269,86269,3227,69600,55,6,0,-9,-1,89,0,59,68
127442,127442,128030,132981,132981,4222,76440,49,78,0,23,-1,134,0,75,79
130891,130891,131487,136446,136446,4227,60480,121,75,0,6,-2,113,0,77,133
45125,45125,45129,45133,45133,2217,76320,50,8,0,0,1,2,0,8,82
87961,87961,88231,90466,90466,3234,54840,86,56,0,-5,2,88,11,61,99
110926,110926,111354,114174,114174,4134,57480,111,76,0,0,1,0,1,20,182
85213,85213,85479,87710,87710,3229,69720,108,51,0,-5,-7,33,8,83,47
28082,28082,28083,28084,28084,2110,17640,39,78,0,-12,0,29,0,72,31
28574,28574,28575,28576,28576,2110,76680,217,28,0,-25,-6,116,9,18,209
109782,109782,110162,112763,112763,4132,60960,118,81,0,-1,-1,84,0,76,153
81107,81107,81371,83600,83600,3224,8520,7,82,0,19,0,62,0,76,19
25597,25597,25598,25599,25599,2106,57960,82,15,0,-26,-5,150,6,7,74
95697,95697,95991,98255,98255,4111,40800,156,5,1,2,0,38,0,12,124
26517,26517,26518,26519,26519,2107,81960,110,10,0,7,1,20,0,11,61
33193,33193,33196,33199,33199,2117,26640,214,53,0,-4,4,34,8,76,102
56431,56431,56443,56633,56633,3115,73920,43,34,1,0,0,0,0,6,34
84488,84488,84754,86985,86985,3228,69120,53,46,1,32,-29,176,262,12,62
93492,93492,93786,96050,96050,4108,35400,105,9,0,21,2,86,0,20,167
95198,95198,95492,97756,97756,4110,67320,156,71,0,-2,-3,162,4,18,170
94928,94928,95222,97486,97486,4110,34920,125,75,0,2,-1,1,1,15,147
21880,21880,21880,21880,21880,2101,43680,75,28,0,7,0,24,5,0,0
36308,36308,36311,36314,36314,2202,54840,57,81,0,9,3,29,4,66,109
126174,126174,126759,131707,131707,4221,9960,9,80,0,0,0,3,0,78,21
21197,21197,21197,21197,21197,1216,47880,144,65,0,2,1,80,2,71,152
1679,1679,1679,1679,1679,1103,29280,217,23,0,33,1,181,4,28,183
130245,130245,130840,135798,135798,4226,69120,135,76,0,26,-7,192,12,64,155
83769,83769,84035,86266,86266,3227,69240,42,9,0,20,3,354,182,62,66
41575,41575,41579,41583,41583,2210,82320,103,58,0,20,-1,123,2,80,60
94196,94196,94490,96754,96754,4109,33480,71,6,1,-2,1,2,1,7,52
93473,93473,93767,96031,96031,4108,33120,89,4,0,-29,1,262,0,8,74
94974,94974,95268,97532,97532,4110,40440,125,17,0,12,13,162,130,30,209
95694,95694,95988,98252,98252,4111,40440,139,6,1,16,1,56,0,17,125
30442,30442,30445,30448,30448,2113,42120,105,81,0,-64,4,882,20,53,114
79511,79511,79759,81692,81692,3220,72240,77,72,0,-19,-1,94,0,66,94
94194,94194,94488,96752,96752,4109,33240,67,9,1,-7,2,110,2,3,64
96398,96398,96699,98970,98970,4112,40200,108,72,0,0,2,8,0,7,139
94970,94970,95264,97528,97528,4110,39960,174,68,0,-67,8,777,14,41,221
4746,4746,4746,4746,4746,1107,52800,146,29,0,74,-7,934,24,27,156
50697,50697,50705,50713,50713,3105,54720,112,25,0,51,1,462,0,17,87
55744,55744,55756,55946,55946,3114,77880,102,31,0,5,-6,57,16,0,0
61441,61441,61522,62218,62218,3123,52920,107,69,0,1,1,264,12,68,137
92789,92789,93082,95345,95345,4107,37200,173,24,0,-3,-3,222,4,16,163
110781,110781,111209,114029,114029,4134,40080,87,75,0,1,1,20,1,20,152
71289,71289,71461,73070,73070,3208,74400,96,59,0,13,-5,172,4,79,53
75141,75141,75388,77320,77320,3214,66000,152,62,0,-11,6,176,8,69,100
42029,42029,42033,42037,42037,2211,50400,127,21,0,-4,-1,110,0,18,91
100397,100397,100701,102975,102975,4119,6960,11,76,0,8,0,12,0,81,14
64404,64404,64524,65627,65627,3128,30000,87,68,0,1,-5,20,4,78,48
110355,110355,110768,113454,113454,4133,57480,182,20,1,-2,3,18,1,34,139
100916,100916,101220,103494,103494,4119,69240,158,52,0,41,11,760,22,55,186
93491,93491,93785,96049,96049,4108,35280,126,11,0,-18,-2,57,0,20,151
27904,27904,27905,27906,27906,2109,82080,166,70,0,0,-4,22,2,72,115
110307,110307,110720,113406,113406,4133,51720,146,31,1,17,3,49,2,24,97
71761,71761,71958,73675,73675,3209,60600,127,52,0,3,0,4,0,17,130
127079,127079,127667,132618,132618,4222,32880,153,76,0,-14,2,46,0,70,206
481,481,481,481,481,1101,57720,64,11,1,15,5,38,5,0,0
38953,38953,38956,38959,38959,2207,26640,127,12,0,-6,0,168,43,71,79
144278,144278,145105,151991,151991,5203,25080,83,66,0,-11,6,20,8,16,62
94981,94981,95275,97539,97539,4110,41280,129,14,0,11,2,20,0,18,164
94557,94557,94851,97115,97115,4109,76800,88,74,0,19,-3,100,1,76,73
110783,110783,111211,114031,114031,4134,40320,104,74,0,-14,2,54,0,18,188
2392,2392,2392,2392,2392,1104,29280,133,24,1,11,-5,26,5,23,217
71131,71131,71303,72912,72912,3208,55440,81,16,1,35,5,453,10,69,60
25577,25577,25578,25579,25579,2106,55560,65,13,0,-3,-1,8,1,7,76
87959,87959,88229,90464,90464,3234,54600,64,64,0,2,1,72,1,59,125
116981,116981,117504,122062,122062,4207,53640,184,61,0,-64,2,1379,0,45,172
93487,93487,93781,96045,96045,4108,34800,117,9,0,-1,1,0,0,16,154
21726,21726,21726,21726,21726,2101,25200,210,94,0,4,-40,120,268,0,0
28928,28928,28929,28930,28930,2111,32760,107,67,0,25,-4,108,2,65,189
80855,80855,81119,83348,83348,3223,64680,102,28,0,22,9,118,14,0,0
26881,26881,26882,26883,26883,2108,39240,121,12,0,3,0,69,0,12,116
45531,45531,45535,45539,45539,2218,38640,149,32,0,13,5,48,16,42,242
27237,27237,27238,27239,27239,2108,81960,115,72,1,7,0,24,0,10,110
94925,94925,95219,97483,97483,4110,34560,120,75,0,12,0,24,0,15,150
40587,40587,40591,40595,40595,2209,50160,63,11,0,-6,-1,56,0,9,62
43687,43687,43691,43695,43695,2215,76560,45,9,0,5,2,4,0,0,0
10390,10390,10390,10390,10390,1116,42840,197,48,1,8,-1,21,0,56,152
50848,50848,50856,50864,50864,3105,72840,154,63,0,-1,-2,193,4,66,93
18680,18680,18680,18680,18680,1213,5040,48,72,0,-9,0,14,0,69,100
94244,94244,94538,96802,96802,4109,39240,133,27,1,37,6,888,9,26,152
94912,94912,95206,97470,97470,4110,33000,65,80,0,2,4,22,2,13,85
94435,94435,94729,96993,96993,4109,62160,202,30,0,2,0,64,0,73,160
93471,93471,93765,96029,96029,4108,32880,51,6,0,3,2,222,18,18,176
39987,39987,39991,39995,39995,2208,64560,83,82,0,-4,2,216,0,16,105
30441,30441,30444,30447,30447,2113,42000,41,85,0,2,7,64,17,58,75
5462,5462,5462,5462,5462,1108,52320,106,26,0,31,5,472,20,22,201
84491,84491,84757,86988,86988,3228,69480,44,87,1,1,-7,2,32,5,46
26817,26817,26818,26819,26819,2108,31560,201,73,0,-11,2,164,2,64,192
88165,88165,88435,90670,90670,3234,79320,55,52,0,2,9,14,22,66,55
79689,79689,79943,81883,81883,3221,8760,2,79,0,2,0,2,0,85,12
106431,106431,106736,109011,109011,4127,42720,196,62,0,-27,1,277,0,19,182
54008,54008,54018,54028,54028,3110,20520,29,88,0,0,0,3,0,82,48
8089,8089,8089,8089,8089,1113,21960,173,79,0,-45,1,450,0,80,64
100691,100691,100995,103269,103269,4119,42240,194,67,0,-29,2,142,0,67,144
95893,95893,96187,98451,98451,4111,64320,221,64,0,-7,-1,8,1,72,175
94922,94922,95216,97480,97480,4110,34200,119,76,0,2,2,128,8,16,142
95675,95675,95969,98233,98233,4111,38160,232,36,0,-9,0,60,0,71,172
46563,46563,46567,46571,46571,2219,76080,117,61,0,0,2,80,44,22,80
85028,85028,85294,87525,87525,3229,47520,119,49,0,5,0,5,3,42,48
101209,101209,101514,103789,103789,4120,18240,5,81,0,2,1,0,0,76,6
16780,16780,16780,16780,16780,1210,36240,178,28,0,-7,4,20,8,0,0
30533,30533,30536,30539,30539,2113,53040,88,13,0,22,1,94,0,38,195
45124,45124,45128,45132,45132,2217,76200,50,9,0,3,1,1,0,8,112
75944,75944,76191,78123,78123,3215,75960,82,71,0,14,0,46,0,70,115
45559,45559,45563,45567,45567,2218,42000,147,22,0,-12,-5,34,16,27,189
121172,121172,121756,126703,126703,4214,6000,22,83,0,6,0,6,0,82,18
110878,110878,111306,114126,114126,4134,51720,118,76,0,3,-4,169,2,31,146
95626,95626,95920,98184,98184,4111,32280,83,80,0,-4,1,580,6,80,63
98762,98762,99066,101340,101340,4116,69960,174,60,0,15,2,122,0,53,227
110305,110305,110718,113404,113404,4133,51480,157,34,1,-12,-6,131,28,47,93
119433,119433,120013,124956,124956,4211,55560,246,65,0,-44,4,349,2,77,137
39421,39421,39424,39427,39427,2207,82800,78,73,0,58,-5,699,4,74,67
109707,109707,110087,112688,112688,4132,51960,101,14,0,1,17,4,48,75,164
148812,148812,149756,157242,157242,6102,50400,199,56,0,-4,-7,29,48,52,81
110922,110922,111350,114170,114170,4134,57000,100,77,0,-2,2,214,8,24,188
112101,112101,112558,115440,115440,4136,36600,51,69,0,-15,2,38,2,61,136
26317,26317,26318,26319,26319,2107,57960,159,18,1,17,1,50,12,15,82
109747,109747,110127,112728,112728,4132,56760,146,77,0,12,-1,251,0,73,190
95111,95111,95405,97669,97669,4110,56880,166,68,0,24,-5,133,4,59,203
105010,105010,105315,107590,107590,4125,42360,183,72,0,10,1,30,0,76,128
67776,67776,67901,69009,69009,3203,3840,16,66,0,-2,0,2,0,67,6
32808,32808,32811,32814,32814,2116,66840,85,61,1,-21,10,114,24,68,111
62871,62871,62968,63792,63792,3125,69000,80,61,1,3,2,2,0,31,153
10113,10113,10113,10113,10113,1116,9600,22,80,0,0,0,10,0,88,18
27902,27902,27903,27904,27904,2109,81840,176,68,0,7,-8,17,108,72,122
13451,13451,13451,13451,13451,1204,64560,127,75,0,-1,-3,133,10,81,99
50621,50621,50629,50637,50637,3105,45600,163,52,0,-9,-9,33,26,69,118
45045,45045,45049,45053,45053,2217,66720,149,28,1,61,-1,900,0,17,162
129586,129586,130180,135137,135137,4225,76200,116,65,0,-21,4,78,4,75,71
110353,110353,110766,113452,113452,4133,57240,190,21,1,0,1,0,1,63,153
74840,74840,75087,77019,77019,3214,29880,135,67,0,40,-7,538,32,66,113
1202,1202,1202,1202,1202,1102,57840,129,13,0,7,-3,110,2,12,53
94982,94982,95276,97540,97540,4110,41400,117,13,0,12,1,88,1,18,168
94966,94966,95260,97524,97524,4110,39480,130,74,0,-16,1,598,20,24,133
94141,94141,94435,96699,96699,4109,26880,204,58,0,2,-7,32,32,74,178
110919,110919,111347,114167,114167,4134,56640,123,73,0,-6,0,6,0,34,156
95120,95120,95414,97678,97678,4110,57960,127,12,0,-19,0,60,0,21,159
137260,137260,137915,143366,143366,4237,26880,132,80,0,-2,1,4,0,74,196
63118,63118,63228,64190,64190,3126,30360,47,80,0,12,-3,24,8,67,90
40597,40597,40601,40605,40605,2209,51360,76,12,0,-8,-1,12,0,9,83
479,479,479,479,479,1101,57480,73,16,1,-2,-3,162,14,0,0
75738,75738,75985,77917,77917,3215,51240,130,64,0,-26,5,150,6,62,161
148151,148151,149094,156579,156579,6101,57240,60,54,0,0,-1,150,6,0,0
109610,109610,109990,112591,112591,4132,40320,118,76,0,10,-4,48,4,77,143
56435,56435,56447,56637,56637,3115,74400,57,33,1,-12,11,88,32,3,47
110876,110876,111304,114124,114124,4134,51480,92,75,0,16,2,106,6,34,157
105012,105012,105317,107592,107592,4125,42600,163,58,0,14,13,70,40,73,141
76579,76579,76827,78760,78760,3216,66000,61,73,0,2,1,0,0,28,93
96836,96836,97137,99408,99408,4114,6360,12,85,0,18,0,76,0,0,0
20336,20336,20336,20336,20336,1215,30960,174,58,0,28,-7,280,20,46,139
94906,94906,95200,97464,97464,4110,32280,63,80,0,-10,3,54,1,30,140
74343,74343,74590,76522,76522,3213,56640,112,57,0,13,-6,40,11,63,174
45840,45840,45844,45848,45848,2218,75720,71,20,1,85,18,1726,54,34,215
110365,110365,110778,113464,113464,4133,58680,190,27,0,25,0,113,2,49,147
96397,96397,96698,98969,98969,4112,40080,108,74,0,-6,0,16,0,9,160
95112,95112,95406,97670,97670,4110,57000,162,63,0,4,5,152,5,59,215
85206,85206,85472,87703,87703,3229,68880,113,41,0,1,6,2,8,8,74
143836,143836,144646,151409,151409,5202,41640,75,77,0,-22,0,107,2,73,47
56438,56438,56450,56640,56640,3115,74760,126,42,0,-13,3,550,4,28,100
5468,5468,5468,5468,5468,1108,53040,114,24,1,-15,-2,302,1,13,139
70542,70542,70689,72192,72192,3207,55440,60,69,0,9,-4,16,2,44,114
110308,110308,110721,113407,113407,4133,51840,160,33,1,-14,-2,54,1,31,102
100926,100926,101230,103504,103504,4119,70440,196,46,1,-2,-2,18,0,31,163
41588,41588,41592,41596,41596,2210,83880,105,52,0,-42,10,302,18,76,59
26298,26298,26299,26300,26300,2107,55680,146,49,1,9,-1,234,0,11,59
95517,95517,95811,98075,98075,4111,19200,10,80,0,5,-2,8,0,80,10
28252,28252,28253,28254,28254,2110,38040,141,10,1,-6,6,1158,94,0,0
75146,75146,75393,77325,77325,3214,66600,116,69,0,9,-4,146,8,70,81
39994,39994,39998,40002,40002,2208,65400,90,76,0,23,0,134,0,54,144
62421,62421,62502,63198,63198,3124,84120,95,74,0,-3,-3,1,2,78,64
87445,87445,87714,89948,89948,3233,79080,73,64,1,5,0,28,2,0,0
93477,93477,93771,96035,96035,4108,33600,53,5,0,-1,2,16,2,8,85
94913,94913,95207,97471,97471,4110,33120,66,82,0,-1,-2,0,2,11,60
3967,3967,3967,3967,3967,1106,45600,86,13,0,17,2,64,6,8,53
21280,21280,21280,21280,21280,1216,57840,162,65,0,-15,-7,62,9,66,252
110879,110879,111307,114127,114127,4134,51840,98,77,0,20,-1,104,4,33,160
55710,55710,55722,55912,55912,3114,73800,37,8,0,3,5,266,253,0,0
56436,56436,56448,56638,56638,3115,74520,71,40,1,-14,-7,112,20,2,37
93479,93479,93773,96037,96037,4108,33840,57,4,0,-13,0,29,0,10,73
55713,55713,55725,55915,55915,3114,74160,24,4,0,5,0,16,0,0,0
95925,95925,96219,98483,98483,4111,68160,223,55,0,-12,6,61,16,54,164
38556,38556,38559,38562,38562,2206,65400,79,8,0,0,0,26,0,47,41
937,937,937,937,937,1102,26040,204,48,0,-35,0,204,3,67,100
85211,85211,85477,87708,87708,3229,69480,117,46,0,1,-5,2,5,87,44
84527,84527,84793,87024,87024,3228,73800,80,77,0,-7,-5,8,10,55,108
5995,5995,5995,5995,5995,1109,29880,57,80,0,-12,-1,42,0,9,54
138130,138130,138789,144383,144383,4238,62520,96,85,0,-26,0,118,0,82,98
96546,96546,96847,99118,99118,4112,57960,116,75,0,20,0,98,0,6,162
34614,34614,34617,34620,34620,2119,24360,46,82,0,1,-1,29,0,81,70
79897,79897,80159,82109,82109,3221,35880,46,9,0,4,1,2,0,68,100
110412,110412,110825,113511,113511,4133,64320,168,21,0,3,-1,1,0,14,116
28251,28251,28252,28253,28253,2110,37920,135,16,1,75,17,1526,181,0,0
9882,9882,9882,9882,9882,1115,68280,135,46,0,6,1,6,1,54,177
110954,110954,111382,114202,114202,4134,60840,84,80,0,8,-4,11,2,36,152
63098,63098,63208,64170,64170,3126,27960,57,75,0,7,2,9,2,63,102
109750,109750,110130,112731,112731,4132,57120,161,72,0,-23,0,148,0,73,194
18206,18206,18206,18206,18206,1212,34560,207,63,0,-23,2,244,4,48,258
110924,110924,111352,114172,114172,4134,57240,112,74,0,6,3,56,2,21,190
105942,105942,106247,108522,108522,4126,70440,217,69,0,-29,-1,160,1,68,204
4684,4684,4684,4684,4684,1107,45360,161,14,1,18,13,854,48,19,103
50510,50510,50518,50526,50526,3105,32280,120,60,1,30,-17,350,170,10,74
110303,110303,110716,113402,113402,4133,51240,173,21,1,7,-2,32,2,65,140
128871,128871,129465,134422,134422,4224,76560,58,76,0,13,-2,96,1,76,82
45122,45122,45126,45130,45130,2217,75960,51,10,0,21,4,5309,110,13,97
50114,50114,50122,50130,50130,3104,71160,81,71,0,-2,0,72,0,71,40
4747,4747,4747,4747,4747,1107,52920,127,12,0,19,17,1609,48,24,91
95703,95703,95997,98261,98261,4111,41520,136,3,1,16,1,50,0,12,128
110521,110521,110934,113620,113620,4133,77400,119,70,0,27,-4,189,3,80,68
147686,147686,148625,156106,156106,6101,480,20,62,0,-2,0,8,0,0,0
109703,109703,110083,112684,112684,4132,51480,93,47,0,14,-1,388,76,75,148
5514,5514,5514,5514,5514,1108,58560,146,31,0,-50,-8,460,10,15,143
94137,94137,94431,96695,96695,4109,26400,232,47,0,4,-2,4,0,70,189
116412,116412,116926,121342,121342,4206,53640,172,45,1,6,-6,62,9,72,108
56265,56265,56277,56467,56467,3115,54000,121,40,0,0,-4,43,4,66,96
94189,94189,94483,96747,96747,4109,32640,79,8,1,-2,4,14,16,16,84
27901,27901,27902,27903,27903,2109,81720,183,60,0,3,-17,2,88,74,127
27900,27900,27901,27902,27902,2109,81600,186,43,0,-3,-5,422,13,71,129
52157,52157,52165,52173,52173,3107,57120,165,34,1,15,-3,38,2,33,112
84528,84528,84794,87025,87025,3228,73920,68,78,0,12,-1,24,6,54,105
144527,144527,145354,152240,152240,5203,54960,92,66,0,1,0,12,0,75,75
21881,21881,21881,21881,21881,2101,43800,80,34,0,-5,-6,8,8,0,0
53232,53232,53242,53252,53252,3109,13800,13,81,0,-8,0,11,0,71,6
94187,94187,94481,96745,96745,4109,32400,86,18,1,54,12,1944,56,71,160
49604,49604,49612,49620,49620,3104,9960,5,87,0,-2,0,1,0,79,4
100202,100202,100506,102780,102780,4118,69960,147,18,0,14,0,232,5,27,162
93527,93527,93821,96085,96085,4108,39600,110,12,0,26,0,112,5,30,197
96404,96404,96705,98976,98976,4112,40920,112,74,0,8,-4,18,3,5,160
32806,32806,32809,32812,32812,2116,66600,88,72,1,-22,-2,107,1,73,92
94354,94354,94648,96912,96912,4109,52440,193,26,0,13,4,34,6,70,165
94983,94983,95277,97541,97541,4110,41520,128,12,0,-11,1,29,0,22,149
96547,96547,96848,99119,99119,4112,58080,122,73,0,-6,2,70,0,6,153
140228,140228,140964,147056,147056,5104,37680,91,78,0,4,-2,4,2,67,167
90560,90560,90851,93112,93112,4104,28440,89,13,0,13,-2,40,1,83,106
8099,8099,8099,8099,8099,1113,23160,163,75,0,40,3,277,1,77,57
95701,95701,95995,98259,98259,4111,41280,150,4,1,5,0,88,0,14,129
5406,5406,5406,5406,5406,1108,45600,125,71,0,1,-5,93,4,11,163
100206,100206,100510,102784,102784,4118,70440,163,31,0,-13,-5,34,5,29,190
72914,72914,73161,75093,75093,3211,57960,56,71,0,-1,3,40,6,60,107
51680,51680,51688,51696,51696,3106,86280,63,74,0,-12,4,46,2,72,81
28284,28284,28285,28286,28286,2110,41880,213,27,0,-4,-4,2790,29,13,191
49790,49790,49798,49806,49806,3104,32280,74,10,0,-7,-1,37,0,10,39
110210,110210,110623,113309,113309,4133,40080,152,20,1,-4,5,10,4,77,111
150744,150744,151688,159174,159174,6106,24720,119,75,0,-7,2,24,0,0,0
56437,56437,56449,56639,56639,3115,74640,113,45,0,-42,-5,566,24,11,95
38548,38548,38551,38554,38554,2206,64440,51,7,0,6,7,456,48,66,67
26483,26483,26484,26485,26485,2107,77880,127,13,0,-16,2,256,1,13,65
93482,93482,93776,96040,96040,4108,34200,142,4,0,-84,-1,1754,0,10,100
19271,19271,19271,19271,19271,1213,75960,103,65,0,23,0,148,3,56,194
50512,50512,50520,50528,50528,3105,32520,115,63,1,0,-1,5,1,9,79
40589,40589,40593,40597,40597,2209,50400,56,10,0,5,0,8,0,8,71
75830,75830,76077,78009,78009,3215,62280,111,73,0,18,-3,54,2,70,156
93488,93488,93782,96046,96046,4108,34920,110,10,0,7,-1,9,0,17,143
42030,42030,42034,42038,42038,2211,50520,117,21,0,10,0,16,0,16,78
96401,96401,96702,98973,98973,4112,40560,104,75,0,12,-5,38,6,6,144
